index_source,pubmed_id,title_pub,title_source,authors_pub,clusterid_google,titleMatch
0,28225081,Biomolecular condensates: organizers of cellular biochemistry.,Biomolecular condensates: organizers of cellular biochemistry,"SF BANANI,HO LEE,AA HYMAN,MK ROSEN",5133580170658998981,High
1,28935776,Liquid phase condensation in cell physiology and disease.,Liquid phase condensation in cell physiology and disease,"Y SHIN,CP BRANGWYNNE",13316270127729397843,High
2,,,Protein phase separation: a new phase in cell biology,,643013240279653975,None
3,29650703,mRNA structure determines specificity of a polyQ-driven phase separation.,mRNA structure determines specificity of a polyQ-driven phase separation,"EM LANGDON,Y QIU,A GHANBARI NIAKI,GA MCLAUGHLIN,CA WEIDMANN,TM GERBICH,JA SMITH,JM CRUTCHLEY,CM TERMINI,KM WEEKS,S MYONG,AS GLADFELTER",1499888481760587074,High
4,30045872,The molecular language of membraneless organelles.,The molecular language of membraneless organelles,"E GOMES,J SHORTER",15878787903976554514,High
5,29424691,Pi-Pi contacts are an overlooked protein feature relevant to phase separation.,Pi-Pi contacts are an overlooked protein feature relevant to phase separation,"RM VERNON,PA CHONG,B TSANG,TH KIM,A BAH,P FARBER,H LIN,JD FORMAN-KAY",13244811878257894034,High
6,30849377,Liquid Nuclear Condensates Mechanically Sense and Restructure the Genome.,Liquid nuclear condensates mechanically sense and restructure the genome,"Y SHIN,YC CHANG,DSW LEE,J BERRY,DW SANDERS,P RONCERAY,NS WINGREEN,M HAATAJA,CP BRANGWYNNE",8653038817291391957,High
7,29313527,Physical principles of intracellular organization via active and passive phase transitions.,Physical principles of intracellular organization via active and passive phase transitions,"J BERRY,CP BRANGWYNNE,M HAATAJA",10715284126396155457,High
8,28924037,Intrinsically disordered sequences enable modulation of protein phase separation through distributed tyrosine motifs.,Intrinsically disordered sequences enable modulation of protein phase separation through distributed tyrosine motifs,"Y LIN,SL CURRIE,MK ROSEN",2284092640336702279,High
9,29507397,Polyubiquitin chain-induced p62 phase separation drives autophagic cargo segregation.,Polyubiquitin chain-induced p62 phase separation drives autophagic cargo segregation,"D SUN,R WU,J ZHENG,P LI,L YU",17244818292110137728,High
10,30078712,Reconstituted Postsynaptic Density as a Molecular Platform for Understanding Synapse Formation and Plasticity.,Reconstituted postsynaptic density as a molecular platform for understanding synapse formation and plasticity,"M ZENG,X CHEN,D GUAN,J XU,H WU,P TONG,M ZHANG",14922012015215514771,High
11,30099028,Who's In and Who's Out-Compositional Control of Biomolecular Condensates.,Who's in and who's out—compositional control of biomolecular condensates,"JA DITLEV,LB CASE,MK ROSEN",8783719798375894721,High
12,29686261,Synaptic nanomodules underlie the organization and plasticity of spine synapses.,Synaptic nanomodules underlie the organization and plasticity of spine synapses,"M HRUSKA,N HENDERSON,SJ LE MARCHAND,H JAFRI,MB DALVA",10078598276769547013,High
13,30765518,Phosphoregulated FMRP phase separation models activity-dependent translation through bidirectional control of mRNA granule formation.,Phosphoregulated FMRP phase separation models activity-dependent translation through bidirectional control of mRNA granule formation,"B TSANG,J ARSENAULT,RM VERNON,H LIN,N SONENBERG,LY WANG,A BAH,JD FORMAN-KAY",2281246655446371337,High
14,28808090,The wisdom of crowds: regulating cell function through condensed states of living matter.,The wisdom of crowds: regulating cell function through condensed states of living matter,S ALBERTI,14681333917779263288,High
15,28483149,Phase Separation and Single-Chain Compactness of Charged Disordered Proteins Are Strongly Correlated.,Phase separation and single-chain compactness of charged disordered proteins are strongly correlated,"YH LIN,HS CHAN",4762778481842185389,High
16,31675499,Phase Separation of Zonula Occludens Proteins Drives Formation of Tight Junctions.,Phase separation of zonula occludens proteins drives formation of tight junctions,"O BEUTEL,R MARASPINI,K POMBO-GARCÍA,C MARTIN-LEMAITRE,A HONIGMANN",1058052564845080706,High
17,29311144,Differentiation and Characterization of Excitatory and Inhibitory Synapses by Cryo-electron Tomography and Correlative Microscopy.,Differentiation and characterization of excitatory and inhibitory synapses by cryo-electron tomography and correlative microscopy,"CL TAO,YT LIU,R SUN,B ZHANG,L QI,S SHIVAKOTI,CL TIAN,P ZHANG,PM LAU,ZH ZHOU,GQ BI",9453429773624475047,High
18,28577431,Supramolecular organization of NMDA receptors and the postsynaptic density.,Supramolecular organization of NMDA receptors and the postsynaptic density,"RA FRANK,SG GRANT",13713010831608411479,High
19,30728452,"PARylation regulates stress granule dynamics, phase separation, and neurotoxicity of disease-related RNA-binding proteins.","PARylation regulates stress granule dynamics, phase separation, and neurotoxicity of disease-related RNA-binding proteins","Y DUAN,A DU,J GU,G DUAN,C WANG,X GUI,Z MA,B QIAN,X DENG,K ZHANG,L SUN,K TIAN,Y ZHANG,H JIANG,C LIU,Y FANG",2133208781723782050,High
20,28236779,MAGUKs: multifaceted synaptic organizers.,MAGUKs: multifaceted synaptic organizers,"S WON,JM LEVY,RA NICOLL,KW ROCHE",17422161544730430595,High
21,30661983,RIM and RIM-BP Form Presynaptic Active-Zone-like Condensates via Phase Separation.,RIM and RIM-BP form presynaptic active-zone-like condensates via phase separation,"X WU,Q CAI,Z SHEN,X CHEN,M ZENG,S DU,M ZHANG",11499238290805982838,High
22,29777761,Functional organization of postsynaptic glutamate receptors.,Functional organization of postsynaptic glutamate receptors,"N SCHEEFHALS,HD MACGILLAVRY",15000403975745340033,High
23,28683268,Physico-Pathologic Mechanisms Involved in Neurodegeneration: Misfolded Protein-Plasma Membrane Interactions.,Physico-pathologic mechanisms involved in neurodegeneration: misfolded protein-plasma membrane interactions,"AN SHRIVASTAVA,A APERIA,R MELKI,A TRILLER",1045917828968150117,High
24,30951647,Regulation of Transmembrane Signaling by Phase Separation.,Regulation of transmembrane signaling by phase separation,"LB CASE,JA DITLEV,MK ROSEN",5049090338698900558,High
25,31675500,Mechanosensation of Tight Junctions Depends on ZO-1 Phase Separation and Flow.,Mechanosensation of tight junctions depends on ZO-1 phase separation and flow,"C SCHWAYER,S SHAMIPOUR,K PRANJIC-FERSCHA,A SCHAUER,M BALDA,M TADA,K MATTER,CP HEISENBERG",14965538459862330699,High
26,31540706,Quantifying Dynamics in Phase-Separated Condensates Using Fluorescence Recovery after Photobleaching.,Quantifying dynamics in phase-separated condensates using fluorescence recovery after photobleaching,"NO TAYLOR,MT WEI,HA STONE,CP BRANGWYNNE",9630336220572633719,High
27,31444270,"Formation of biological condensates via phase separation: Characteristics, analytical methods, and physiological implications.","Formation of biological condensates via phase separation: Characteristics, analytical methods, and physiological implications","Z FENG,X CHEN,X WU,M ZHANG",17129156066353366107,High
28,32203417,Phase separation of TAZ compartmentalizes the transcription machinery to promote gene expression.,Phase separation of TAZ compartmentalizes the transcription machinery to promote gene expression,"Y LU,T WU,O GUTMAN,H LU,Q ZHOU,YI HENIS,K LUO",9440653888623400605,High
29,30397688,Coarse-grained residue-based models of disordered protein condensates: utility and limitations of simple charge pattern parameters.,Coarse-grained residue-based models of disordered protein condensates: utility and limitations of simple charge pattern parameters,"S DAS,AN AMIN,YH LIN,HS CHAN",2555626227102374057,High
30,,,Charge pattern matching as a 'fuzzy'mode of molecular recognition for the functional phase separations of intrinsically disordered proteins,,97376704583038540,None
31,29976799,A liquid phase of synapsin and lipid vesicles.,Synaptic vesicle clusters at synapses: a distinct liquid phase?,"D MILOVANOVIC,Y WU,X BIAN,P DE CAMILLI",12636425205556851750,Low
32,,,The protein complex crystallography beamline (BL19U1) at the Shanghai Synchrotron Radiation Facility,,8461440474667390308,None
33,,,Phase separation at the synapse,,1194323211015626488,None
34,30269991,Differential Nanoscale Topography and Functional Role of GluN2-NMDA Receptor Subtypes at Glutamatergic Synapses.,Differential nanoscale topography and functional role of GluN2-NMDA receptor subtypes at glutamatergic synapses,"B KELLERMAYER,JS FERREIRA,J DUPUIS,F LEVET,D GRILLO-BOSCH,L BARD,J LINARÈS-LOYEZ,D BOUCHET,D CHOQUET,DA RUSAKOV,P BON,JB SIBARITA,L COGNET,M SAINLOS,AL CARVALHO,L GROC",10535367724002481602,High
35,28954225,3'UTR Length-Dependent Control of SynGAP Isoform α2 mRNA by FUS and ELAV-like Proteins Promotes Dendritic Spine Maturation and Cognitive Function.,3′ UTR length-dependent control of SynGAP isoform α2 mRNA by FUS and ELAV-like proteins promotes dendritic spine maturation and cognitive function,"S YOKOI,T UDAGAWA,Y FUJIOKA,D HONDA,H OKADO,H WATANABE,M KATSUNO,S ISHIGAKI,G SOBUE",15444550549880427982,High
36,,,Hierarchical organization and genetically separable subfamilies of PSD 95 postsynaptic supercomplexes,,15012039451235261747,None
37,31492534,Phase Separation-Mediated TARP/MAGUK Complex Condensation and AMPA Receptor Synaptic Transmission.,Phase separation-mediated TARP/MAGUK complex condensation and AMPA receptor synaptic transmission,"M ZENG,J DÍAZ-ALONSO,F YE,X CHEN,J XU,Z JI,RA NICOLL,M ZHANG",8796556845039587004,High
38,29902592,Subsynaptic spatial organization as a regulator of synaptic strength and plasticity.,Subsynaptic spatial organization as a regulator of synaptic strength and plasticity,"H CHEN,AH TANG,TA BLANPIED",7387046495787040481,High
39,30826216,"Phase Separation, Transition, and Autophagic Degradation of Proteins in Development and Pathogenesis.","Phase separation, transition, and autophagic degradation of proteins in development and pathogenesis","Z WANG,H ZHANG",13346144755811120222,High
40,,,The physiological and pathological biophysics of phase separation and gelation of RNA binding proteins in amyotrophic lateral sclerosis and fronto-temporal …,,1321620295703399913,None
41,31039282,Dynamic Synthetic Cells Based on Liquid-Liquid Phase Separation.,Dynamic synthetic cells based on liquid–liquid phase separation,N MARTIN,2320197400895545211,High
42,32527803,Linking glutamate receptor movements and synapse function.,Linking glutamate receptor movements and synapse function,"L GROC,D CHOQUET",12238408429348128410,High
43,,,CPEB3 inhibits translation of mRNA targets by localizing them to P bodies,,14975078606605955836,None
44,29580901,Species-conserved SYNGAP1 phenotypes associated with neurodevelopmental disorders.,Species-conserved SYNGAP1 phenotypes associated with neurodevelopmental disorders,"M KILINC,T CRESON,C ROJAS,M ACETI,J ELLEGOOD,T VAISSIERE,JP LERCH,G RUMBAUGH",18051315371465076307,High
45,33169001,A framework for understanding the functions of biomolecular condensates across scales.,A framework for understanding the functions of biomolecular condensates across scales,"AS LYON,WB PEEPLES,MK ROSEN",15758517167803240078,High
46,29068540,The molecular cross talk of the dystrophin-glycoprotein complex.,The molecular cross talk of the dystrophin–glycoprotein complex,"M GAWOR,TJ PRÓSZYŃSKI",3198479126364865916,High
47,31493925,"Physiological, Pathological, and Targetable Membraneless Organelles in Neurons.","Physiological, pathological, and targetable membraneless organelles in neurons","VH RYAN,NL FAWZI",15890992571817314224,High
48,31237369,"Temperature, Hydrostatic Pressure, and Osmolyte Effects on Liquid-Liquid Phase Separation in Protein Condensates: Physical Chemistry and Biological Implications.","Temperature, hydrostatic pressure, and osmolyte effects on liquid–liquid phase separation in protein condensates: physical chemistry and biological implications","H CINAR,Z FETAHAJ,S CINAR,RM VERNON,HS CHAN,RHA WINTER",3328300839440009114,High
49,29138001,PDZ Ligand Binding-Induced Conformational Coupling of the PDZ-SH3-GK Tandems in PSD-95 Family MAGUKs.,PDZ ligand binding-induced conformational coupling of the PDZ–SH3–GK tandems in PSD-95 family MAGUKs,"M ZENG,F YE,J XU,M ZHANG",14829649304716260895,High
50,30985120,Pressure-Sensitive and Osmolyte-Modulated Liquid-Liquid Phase Separation of Eye-Lens γ-Crystallins.,Pressure-sensitive and osmolyte-modulated liquid–liquid phase separation of eye-lens γ-crystallins,"S CINAR,H CINAR,HS CHAN,R WINTER",13389736244634032189,High
51,29755516,Synaptic Paths to Neurodegeneration: The Emerging Role of TDP-43 and FUS in Synaptic Functions.,Synaptic paths to neurodegeneration: the emerging role of TDP-43 and FUS in synaptic functions,SC LING,2752248053351604806,High
52,32075947,Twenty Years of SynGAP Research: From Synapses to Cognition.,Twenty years of SynGAP research: from synapses to cognition,"TR GAMACHE,Y ARAKI,RL HUGANIR",4494437521656198374,High
53,30700558,Intrinsically disordered proteins in synaptic vesicle trafficking and release.,Intrinsically disordered proteins in synaptic vesicle trafficking and release,"D SNEAD,D ELIEZER",17705946806954427650,High
54,27726526,Long-term memory consolidation: The role of RNA-binding proteins with prion-like domains.,Long-term memory consolidation: The role of RNA-binding proteins with prion-like domains,"IP SUDHAKARAN,M RAMASWAMI",5658819207097400059,High
55,30455454,Haploinsufficiency of the intellectual disability gene SETD5 disturbs developmental gene expression and cognition.,Haploinsufficiency of the intellectual disability gene SETD5 disturbs developmental gene expression and cognition,"E DELIU,N ARECCO,J MORANDELL,CP DOTTER,X CONTRERAS,C GIRARDOT,EL KÄSPER,A KOZLOVA,K KISHI,I CHIARADIA,KM NOH,G NOVARINO",17610106443131280646,High
56,30762296,Mechanism of DNA-Induced Phase Separation for Transcriptional Repressor VRN1.,Mechanism of DNA‐induced phase separation for transcriptional repressor VRN1,"H ZHOU,Z SONG,S ZHONG,L ZUO,Z QI,LJ QU,L LAI",11787834900541072802,High
57,30766476,Role of Palmitoylation of Postsynaptic Proteins in Promoting Synaptic Plasticity.,Role of palmitoylation of postsynaptic proteins in promoting synaptic plasticity,"L MATT,K KIM,D CHOWDHURY,JW HELL",8426602184984061365,High
58,29467404,Basal condensation of Numb and Pon complex via phase transition during Drosophila neuroblast asymmetric division.,Basal condensation of Numb and Pon complex via phase transition during Drosophila neuroblast asymmetric division,"Z SHAN,Y TU,Y YANG,Z LIU,M ZENG,H XU,J LONG,M ZHANG,Y CAI,W WEN",14547828783922575692,High
59,30826453,Emergent functions of proteins in non-stoichiometric supramolecular assemblies.,Emergent functions of proteins in non-stoichiometric supramolecular assemblies,"R PANCSA,E SCHAD,A TANTOS,P TOMPA",4672161308056363856,High
60,31441158,Features of molecular recognition of intrinsically disordered proteins via coupled folding and binding.,Features of molecular recognition of intrinsically disordered proteins via coupled folding and binding,"J YANG,M GAO,J XIONG,Z SU,Y HUANG",7596681331535839445,High
61,30599311,Phase separation as a mechanism for assembling dynamic postsynaptic density signalling complexes.,Phase separation as a mechanism for assembling dynamic postsynaptic density signalling complexes,"Z FENG,X CHEN,M ZENG,M ZHANG",4030614472425708955,High
62,32726576,Liquid-Liquid Phase Separation in Neuronal Development and Synaptic Signaling.,Liquid-liquid phase separation in neuronal development and synaptic signaling,"X WU,Q CAI,Z FENG,M ZHANG",11931524430378515763,High
63,28917202,Mechanisms of MAGUK-mediated cellular junctional complex organization.,Mechanisms of MAGUK-mediated cellular junctional complex organization,"F YE,M ZENG,M ZHANG",6544785304134805515,High
64,29485124,Structure function relations in PDZ-domain-containing proteins: Implications for protein networks in cellular signalling.,Structure function relations in PDZ-domain-containing proteins: Implications for protein networks in cellular signalling,"GP MANJUNATH,PL RAMANUJAM,S GALANDE",11832717476060254028,High
65,32403081,Assembly of the presynaptic active zone.,Assembly of the presynaptic active zone,"J EMPERADOR-MELERO,PS KAESER",13589518087646078790,High
66,32080961,A guide to regulation of the formation of biomolecular condensates.,A guide to regulation of the formation of biomolecular condensates,"A BRATEK-SKICKI,R PANCSA,B MESZAROS,J VAN LINDT,P TOMPA",11734215350226562605,High
67,,,Protocol for analyzing protein liquid–liquid phase separation,,10455237329070131082,None
68,28437460,An aggregation-removal model for the formation and size determination of post-synaptic scaffold domains.,An aggregation-removal model for the formation and size determination of post-synaptic scaffold domains,"J RANFT,LG ALMEIDA,PC RODRIGUEZ,A TRILLER,V HAKIM",7827691171112058931,High
69,29457927,"Structural fingerprints, interactions, and signaling networks of RAS family proteins beyond RAS isoforms.","Structural fingerprints, interactions, and signaling networks of RAS family proteins beyond RAS isoforms","S NAKHAEI-RAD,F HAGHIGHI,P NOURI,S REZAEI ADARIANI,J LISSY,NS KAZEMEIN JASEMI,R DVORSKY,MR AHMADIAN",8169228930167794217,High
70,31928729,Liquid-liquid phase transitions and amyloid aggregation in proteins related to cancer and neurodegenerative diseases.,Liquid-liquid phase transitions and amyloid aggregation in proteins related to cancer and neurodegenerative diseases,"GAP DE OLIVEIRA,Y CORDEIRO,JL SILVA,TCRG VIEIRA",8151118768399718154,High
71,34145433,Author Correction: Assembly of synaptic active zones requires phase separation of scaffold molecules.,Assembly of synaptic active zones requires phase separation of scaffold molecules,"NA MCDONALD,RD FETTER,K SHEN",15557810043938068493,High
72,30864948,Intramolecular domain dynamics regulate synaptic MAGUK protein interactions.,Intramolecular domain dynamics regulate synaptic MAGUK protein interactions,"N RADEMACHER,B KUROPKA,SA KUNDE,MC WAHL,C FREUND,SA SHOICHET",18301229879737020518,High
73,28512239,Erratum: BRaf signaling principles unveiled by large-scale human mutation analysis with a rapid lentivirus-based gene replacement method.,BRaf signaling principles unveiled by large-scale human mutation analysis with a rapid lentivirus-based gene replacement method,"CS LIM,X KANG,V MIRABELLA,H ZHANG,Q BU,Y ARAKI,ET HOANG,S WANG,Y SHEN,S CHOI,BK KAANG,Q CHANG,ZP PANG,RL HUGANIR,JJ ZHU",8514399422850707166,High
74,31606941,Biomolecular condensates in neurodegeneration and cancer.,Biomolecular condensates in neurodegeneration and cancer,"S SPANNL,M TERESHCHENKO,GJ MASTROMARCO,SJ IHN,HO LEE",11325404798937697507,High
75,28524815,Anchoring high concentrations of SynGAP at postsynaptic densities via liquid-liquid phase separation.,Anchoring high concentrations of SynGAP at postsynaptic densities via liquid-liquid phase separation,"M ZENG,G BAI,M ZHANG",15862503643068463624,High
76,29648450,Neuronal Synapses: Microscale Signal Processing Machineries Formed by Phase Separation?,Neuronal synapses: microscale signal processing machineries formed by phase separation?,"Z FENG,M ZENG,X CHEN,M ZHANG",12673926644614812872,High
77,,,Cell Biology's New Phase,,6510452450507988128,None
78,,,Liquid–liquid phase separation in autophagy,,15208512025374544,None
79,33139925,Gephyrin-mediated formation of inhibitory postsynaptic density sheet via phase separation.,Gephyrin-mediated formation of inhibitory postsynaptic density sheet via phase separation,"G BAI,Y WANG,M ZHANG",15057753386894618752,High
80,32548680,"Liquid-liquid phase separation in biology: mechanisms, physiological functions and human diseases.","Liquid-liquid phase separation in biology: mechanisms, physiological functions and human diseases","H ZHANG,X JI,P LI,C LIU,J LOU,Z WANG,W WEN,Y XIAO,M ZHANG,X ZHU",10349374736765127573,High
81,34230650,Phase separation in immune signalling.,Phase separation in immune signalling,"Q XIAO,CK MCATEE,X SU",13837097316215349777,High
82,33139942,Mesophasic organization of GABA,Mesophasic organization of GABA A receptors in hippocampal inhibitory synapses,"YT LIU,CL TAO,X ZHANG,W XIA,DQ SHI,L QI,C XU,R SUN,XW LI,PM LAU,ZH ZHOU,GQ BI",16556866822841126944,Low
83,32292336,Phosphorylation-Dependent Regulation of Ca,Phosphorylation-dependent regulation of Ca2+-permeable AMPA receptors during hippocampal synaptic plasticity,"AM PURKEY,ML DELL'ACQUA",9234735587515011776,Low
84,32416471,AMPA receptor nanoscale dynamic organization and synaptic plasticities.,AMPA receptor nanoscale dynamic organization and synaptic plasticities,"D CHOQUET,E HOSY",8528855261281565311,High
85,31350430,Activity-dependent changes in synaptic protein complex composition are consistent in different detergents despite differential solubility.,Activity-dependent changes in synaptic protein complex composition are consistent in different detergents despite differential solubility,"JD LAUTZ,EP GNIFFKE,EA BROWN,KB IMMENDORF,RD MENDEL,SEP SMITH",11104154928867583039,High
86,31537859,The ERC1 scaffold protein implicated in cell motility drives the assembly of a liquid phase.,The ERC1 scaffold protein implicated in cell motility drives the assembly of a liquid phase,"K SALA,A CORBETTA,C MINICI,D TONOLI,DH MURRAY,E CAMMAROTA,L RIBOLLA,M RAMELLA,R FESCE,D MAZZA,M DEGANO,I DE CURTIS",12575226475413673273,High
87,30904821,Postsynaptic protein organization revealed by electron microscopy.,Postsynaptic protein organization revealed by electron microscopy,"YT LIU,CL TAO,PM LAU,ZH ZHOU,GQ BI",17192300927753814,High
88,30405388,Retromer in Synaptic Function and Pathology.,Retromer in synaptic function and pathology,"L BRODIN,O SHUPLIAKOV",9661528728854617458,High
89,32579114,SynGAP isoforms differentially regulate synaptic plasticity and dendritic development.,SynGAP isoforms differentially regulate synaptic plasticity and dendritic development,"Y ARAKI,I HONG,TR GAMACHE,S JU,L COLLADO-TORRES,JH SHIN,RL HUGANIR",4327496620892999998,High
90,33357399,Phase Separation as a Missing Mechanism for Interpretation of Disease Mutations.,Phase separation as a missing mechanism for interpretation of disease mutations,"B TSANG,I PRITIŠANAC,SW SCHERER,AM MOSES,JD FORMAN-KAY",9649325078991362633,High
91,31909584,Generation of a Novel Mouse Model of Parkinson's Disease via Targeted Knockdown of Glutamate Transporter GLT-1 in the Substantia Nigra.,Generation of a novel mouse model of Parkinson's disease via targeted knockdown of glutamate transporter GLT-1 in the substantia nigra,"Y ZHANG,X MENG,Z JIAO,Y LIU,X ZHANG,S QU",4225648869381230394,High
92,30986977,Development of Targeted Mass Spectrometry-Based Approaches for Quantitation of Proteins Enriched in the Postsynaptic Density (PSD).,Development of targeted mass spectrometry-based approaches for quantitation of proteins enriched in the postsynaptic density (PSD),"RS WILSON,N RAUNIYAR,F SAKAUE,TT LAM,KR WILLIAMS,AC NAIRN",221319096260462323,High
